Code,$\theta$,A,B,C,D,E
MiniMD,30.293834,24.3730560163981,25.023735043961604,29.897382525363962,30.293834,30.695542582732617
leukocyte,38.924663,30.331244808928943,33.19809208114908,37.206037187659206,38.924663,40.7226757856953
CFD,29.721877,23.005016652803892,25.52016924519503,28.219267309298584,29.721877,31.30449712675712
Heartwall,24.623079,18.94515270032419,21.268665641403242,23.239206314626507,24.623079,26.08935999069145
streamcluster,33.860292,26.017967821193167,29.28610821636032,31.9151252907914,33.860292,35.92401295244401
LavaMD,65.640072,50.35189300971726,56.86904455114901,61.764507707810466,65.640072,69.75881800188515
