Code,$\theta$,A,B,C,D,E
MiniMD,846.99954290798,1209.052741516166,1241.3304034389646,803.5240558763111,814.179112270878,824.9754590548748
leukocyte,1197.9119922024831,1504.6153697411062,1646.828539548531,999.9519482600203,1046.141850740421,1094.4653628356245
CFD,933.326173500861,1141.1896166809881,1265.9565779974541,758.4229188956184,798.807157617759,841.3417621800318
Heartwall,787.17496632021,939.7955182706057,1055.055980047326,624.5784659387251,661.7715209502929,701.1793870969427
streamcluster,1086.7730245324321,1290.6504338942468,1452.7701985137558,857.7530456287042,910.031476431564,965.496179018753
lavaMD,2117.507500754784,2497.7620468671953,2821.052648289644,1659.9870473771305,1764.1469729568241,1874.8426664594713
Prime95,8179.6138879389,6132.91156134995,8688.062457035458,4075.8701443635414,4851.1919084541,5773.997232270859
