POSE Point,Runtime (s),Energy (J),$Et^2$
$\theta$,65.640072,2117.507500754784,9123533
A,52.57704894686994,2290.8162502739874,6332609
B,59.38220710689976,2587.321421464449,9123533
C,61.764507707810466,1659.9870473771305,6332609
D,65.640072,1764.1469729568241,7601037
E,69.75881800188515,1874.8426664594713,9123533
