POSE Point,Runtime (s),Energy (J),$Et^2$
$\theta$,30.293834,846.99954290798,777305.35
A,25.450152567484604,1108.8797154146255,718232.78
B,26.129586468297543,1138.4830927845148,777305.35
C,29.897382525363962,803.5240558763111,718232.78
D,30.293834,814.179112270878,747185.51
E,30.695542582732617,824.9754590548748,777305.25
