GHz,Runtime,Energy
3.20,30.293834,846.999542
3.10,31.160996,827.493027
3.00,32.221644,811.684753
2.90,33.189564,798.298294
2.70,35.548669,771.701523
2.60,36.852917,766.241623
2.50,38.225746,761.696686
2.40,39.720356,755.990295
2.30,41.430395,756.522583
2.20,43.161913,757.605957
2.10,45.85507,761.754822
1.90,49.730500,779.697784
1.80,52.358683,792.578430
1.70,55.340763,810.747101
1.60,58.637567,826.381607
