GHz,Runtime,Energy
3.20,65.640072,2117.507477
3.10,67.788671,2069.892914
3.00,69.909725,2025.468002
2.90,72.820343,1983.011917
2.70,78.83738,1920.783188
2.60,80.443575,1895.999603
2.50,83.583275,1874.414719
2.40,87.252310,1868.564407
2.30,90.581583,1860.813812
2.20,95.357508,1872.620102
2.10,99.502899,1872.711319
1.90,109.970804,1906.265305
1.80,115.469869,1928.758057
1.70,123.182269,1978.350647
1.60,130.924339,2027.562210
